VARIABLES="X" "Y" "Vx" "Vy" 
Zone T = "single_2412_2412_ Streamlines" 
I=35, J=1, K=1 
-0.500000, -0.342300, 0.980061, 0.003490 
-0.486577, -0.342300, 0.979733, 0.003106 
-0.473154, -0.342300, 0.979406, 0.002697 
-0.459732, -0.342300, 0.979082, 0.002261 
-0.446309, -0.342300, 0.978762, 0.001798 
-0.432886, -0.342300, 0.978447, 0.001305 
-0.419463, -0.342300, 0.978139, 0.000781 
-0.406040, -0.342300, 0.977841, 0.000225 
-0.392617, -0.342300, 0.977554, -0.000364 
-0.379195, -0.342300, 0.977280, -0.000989 
-0.365772, -0.342300, 0.977024, -0.001650 
-0.352349, -0.342300, 0.976787, -0.002348 
-0.338926, -0.342300, 0.976573, -0.003084 
-0.325503, -0.342300, 0.976387, -0.003860 
-0.312081, -0.342300, 0.976231, -0.004675 
-0.298658, -0.342300, 0.976111, -0.005530 
-0.285235, -0.342300, 0.976031, -0.006426 
-0.271812, -0.342300, 0.975997, -0.007360 
-0.258389, -0.342300, 0.976014, -0.008333 
-0.244966, -0.342300, 0.976088, -0.009342 
-0.231544, -0.342300, 0.976225, -0.010385 
-0.218121, -0.342300, 0.976432, -0.011459 
-0.204698, -0.342300, 0.976715, -0.012560 
-0.191275, -0.342300, 0.977079, -0.013682 
-0.177852, -0.342300, 0.977532, -0.014819 
-0.164430, -0.342300, 0.978079, -0.015964 
-0.151007, -0.342300, 0.978725, -0.017108 
-0.137584, -0.342300, 0.979475, -0.018242 
-0.124161, -0.342300, 0.980333, -0.019354 
-0.110738, -0.342300, 0.981300, -0.020433 
-0.097315, -0.342300, 0.982377, -0.021466 
-0.083893, -0.342300, 0.983564, -0.022439 
-0.070470, -0.342300, 0.984856, -0.023340 
-0.057047, -0.342300, 0.986250, -0.024154 
-0.043624, -0.342300, 0.987739, -0.024867 
-0.030201, -0.342300, 0.989312, -0.025468 
-0.016779, -0.342300, 0.990958, -0.025944 
-0.003356, -0.342300, 0.992665, -0.026286 
0.010067, -0.342300, 0.994417, -0.026485 
0.023490, -0.342300, 0.996200, -0.026535 
0.036913, -0.342300, 0.997995, -0.026432 
0.050336, -0.342300, 0.999785, -0.026177 
0.063758, -0.342300, 1.001554, -0.025769 
0.077181, -0.342300, 1.003285, -0.025212 
0.090604, -0.342300, 1.004963, -0.024514 
0.104027, -0.342300, 1.006572, -0.023681 
0.117450, -0.342300, 1.008101, -0.022723 
0.130872, -0.342300, 1.009538, -0.021651 
0.144295, -0.342300, 1.010873, -0.020478 
0.157718, -0.342300, 1.012101, -0.019215 
0.171141, -0.342300, 1.013214, -0.017877 
0.184564, -0.342300, 1.014211, -0.016475 
0.197987, -0.342300, 1.015088, -0.015021 
0.211409, -0.342300, 1.015845, -0.013530 
0.224832, -0.342300, 1.016484, -0.012011 
0.238255, -0.342300, 1.017006, -0.010475 
0.251678, -0.342300, 1.017414, -0.008933 
0.265101, -0.342300, 1.017712, -0.007393 
0.278523, -0.342300, 1.017904, -0.005863 
0.291946, -0.342300, 1.017995, -0.004351 
0.305369, -0.342300, 1.017991, -0.002862 
0.318792, -0.342300, 1.017895, -0.001402 
0.332215, -0.342300, 1.017714, 0.000025 
0.345638, -0.342300, 1.017453, 0.001413 
0.359060, -0.342300, 1.017116, 0.002761 
0.372483, -0.342300, 1.016709, 0.004065 
0.385906, -0.342300, 1.016237, 0.005322 
0.399329, -0.342300, 1.015704, 0.006532 
0.412752, -0.342300, 1.015115, 0.007692 
0.426174, -0.342300, 1.014474, 0.008801 
0.439597, -0.342300, 1.013784, 0.009859 
0.453020, -0.342300, 1.013051, 0.010864 
0.466443, -0.342300, 1.012277, 0.011816 
0.479866, -0.342300, 1.011465, 0.012715 
0.493289, -0.342300, 1.010620, 0.013560 
0.506711, -0.342300, 1.009744, 0.014351 
0.520134, -0.342300, 1.008840, 0.015088 
0.533557, -0.342300, 1.007911, 0.015771 
0.546980, -0.342300, 1.006960, 0.016401 
0.560403, -0.342300, 1.005989, 0.016976 
0.573826, -0.342300, 1.005000, 0.017498 
0.587248, -0.342300, 1.003997, 0.017966 
0.600671, -0.342300, 1.002981, 0.018381 
0.614094, -0.342300, 1.001955, 0.018742 
0.627517, -0.342300, 1.000921, 0.019051 
0.640940, -0.342300, 0.999881, 0.019306 
0.654362, -0.342300, 0.998837, 0.019510 
0.667785, -0.342300, 0.997792, 0.019660 
0.681208, -0.342300, 0.996747, 0.019759 
0.694631, -0.342300, 0.995705, 0.019806 
0.708054, -0.342300, 0.994668, 0.019801 
0.721477, -0.342300, 0.993638, 0.019745 
0.734899, -0.342300, 0.992617, 0.019638 
0.748322, -0.342300, 0.991608, 0.019481 
0.761745, -0.342300, 0.990613, 0.019273 
0.775168, -0.342300, 0.989635, 0.019016 
0.788591, -0.342300, 0.988676, 0.018710 
0.802013, -0.342300, 0.987738, 0.018356 
0.815436, -0.342300, 0.986825, 0.017955 
0.828859, -0.342300, 0.985939, 0.017507 
0.842282, -0.342300, 0.985083, 0.017015 
0.855705, -0.342300, 0.984260, 0.016481 
0.869128, -0.342300, 0.983472, 0.015905 
0.882550, -0.342300, 0.982722, 0.015290 
0.895973, -0.342300, 0.982014, 0.014639 
0.909396, -0.342300, 0.981348, 0.013955 
0.922819, -0.342300, 0.980729, 0.013240 
0.936242, -0.342300, 0.980156, 0.012498 
0.949664, -0.342300, 0.979634, 0.011732 
0.963087, -0.342300, 0.979162, 0.010946 
0.976510, -0.342300, 0.978741, 0.010145 
0.989933, -0.342300, 0.978374, 0.009332 
1.003356, -0.342300, 0.978058, 0.008512 
1.016779, -0.342300, 0.977795, 0.007688 
1.030201, -0.342300, 0.977584, 0.006866 
1.043624, -0.342300, 0.977423, 0.006048 
1.057047, -0.342300, 0.977311, 0.005238 
1.070470, -0.342300, 0.977246, 0.004440 
1.083893, -0.342300, 0.977225, 0.003658 
1.097315, -0.342300, 0.977247, 0.002894 
1.110738, -0.342300, 0.977308, 0.002151 
1.124161, -0.342300, 0.977406, 0.001430 
1.137584, -0.342300, 0.977538, 0.000734 
1.151007, -0.342300, 0.977701, 0.000064 
1.164430, -0.342300, 0.977891, -0.000579 
1.177852, -0.342300, 0.978106, -0.001194 
1.191275, -0.342300, 0.978343, -0.001780 
1.204698, -0.342300, 0.978599, -0.002339 
1.218121, -0.342300, 0.978872, -0.002868 
1.231544, -0.342300, 0.979159, -0.003370 
1.244966, -0.342300, 0.979457, -0.003844 
1.258389, -0.342300, 0.979766, -0.004291 
1.271812, -0.342300, 0.980082, -0.004712 
1.285235, -0.342300, 0.980404, -0.005107 
1.298658, -0.342300, 0.980730, -0.005478 
1.312081, -0.342300, 0.981060, -0.005825 
1.325503, -0.342300, 0.981391, -0.006150 
1.338926, -0.342300, 0.981723, -0.006453 
1.352349, -0.342300, 0.982054, -0.006735 
1.365772, -0.342300, 0.982384, -0.006998 
1.379195, -0.342300, 0.982712, -0.007243 
1.392617, -0.342300, 0.983037, -0.007469 
1.406040, -0.342300, 0.983358, -0.007679 
1.419463, -0.342300, 0.983676, -0.007874 
1.432886, -0.342300, 0.983990, -0.008053 
1.446309, -0.342300, 0.984298, -0.008219 
1.459732, -0.342300, 0.984602, -0.008371 
1.473154, -0.342300, 0.984901, -0.008511 
1.486577, -0.342300, 0.985195, -0.008639 
1.500000, -0.342300, 0.985483, -0.008756 
-0.500000, -0.337460, 0.979927, 0.003609 
-0.486577, -0.337460, 0.979590, 0.003225 
-0.473154, -0.337460, 0.979254, 0.002816 
-0.459732, -0.337460, 0.978920, 0.002379 
-0.446309, -0.337460, 0.978589, 0.001914 
-0.432886, -0.337460, 0.978264, 0.001419 
-0.419463, -0.337460, 0.977944, 0.000893 
-0.406040, -0.337460, 0.977634, 0.000333 
